Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"32,410",223.679,0.07743
2,Nature Reviews Materials,2058-8437,"7,901",74.449,0.03387
3,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"344,581",70.67,0.68712
4,LANCET,0140-6736,"247,292",59.102,0.428
5,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"32,266",57.618,0.05488
6,CHEMICAL REVIEWS,0009-2665,"188,635",54.301,0.26714
7,Nature Energy,2058-7546,"11,113",54,0.04063
8,NATURE REVIEWS CANCER,1474-175X,"50,529",51.848,0.07406
9,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"156,350",51.273,0.30087
10,NATURE REVIEWS IMMUNOLOGY,1474-1733,"41,499",44.019,0.08019
11,NATURE REVIEWS GENETICS,1471-0056,"36,697",43.704,0.07924
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"45,869",43.351,0.09141
13,NATURE,0028-0836,"745,692",43.07,1.28486
14,SCIENCE,0036-8075,"680,994",41.063,1.06998
15,CHEMICAL SOCIETY REVIEWS,0306-0012,"139,751",40.443,0.24707
16,NATURE MATERIALS,1476-1122,"97,792",38.887,0.17735
17,REVIEWS OF MODERN PHYSICS,0034-6861,"50,151",38.296,0.05177
18,CELL,0092-8674,"242,829",36.216,0.57187
19,LANCET ONCOLOGY,1470-2045,"48,822",35.386,0.14702
20,NATURE REVIEWS MICROBIOLOGY,1740-1526,"29,637",34.648,0.05458
21,Nature Reviews Clinical Oncology,1759-4774,"9,626",34.106,0.03191
22,World Psychiatry,1723-8617,"5,426",34.024,0.01409
22,World Psychiatry,1723-8617,"5,426",34.024,0.01409
24,Nature Nanotechnology,1748-3387,"63,245",33.407,0.15493
25,Energy & Environmental Science,1754-5692,"81,176",33.25,0.16014
26,NATURE REVIEWS NEUROSCIENCE,1471-003X,"43,107",33.162,0.06847
27,Annual Review of Astronomy and Astrophysics,0066-4146,"11,821",33.069,0.01929
28,Nature Reviews Disease Primers,2056-676X,"4,339",32.274,0.01973
29,NATURE BIOTECHNOLOGY,1087-0156,"60,971",31.864,0.15813
30,Nature Photonics,1749-4885,"43,932",31.583,0.11604
31,NATURE MEDICINE,1078-8956,"79,243",30.641,0.16294
32,Nature Reviews Chemistry,2397-3358,"1,531",30.628,0.00672
33,LANCET NEUROLOGY,1474-4422,"30,748",28.755,0.06942
34,NATURE METHODS,1548-7091,"64,324",28.467,0.20505
35,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,"154,462",28.349,0.2843
36,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,"28,380",28.295,0.03054
37,Living Reviews in Relativity,2367-3613,"2,819",27.778,0.00521
38,BMJ-British Medical Journal,1756-1833,"112,901",27.604,0.15273
39,LANCET INFECTIOUS DISEASES,1473-3099,"23,088",27.516,0.07332
40,Annual Review of Biochemistry,0066-4154,"20,344",26.922,0.02544
41,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,"11,322",26.467,0.00838
42,Cancer Discovery,2159-8274,"13,715",26.37,0.0648
43,ADVANCES IN PHYSICS,0001-8732,"5,903",26.1,0.00448
44,ADVANCED MATERIALS,0935-9648,"229,186",25.809,0.40936
45,NATURE GENETICS,1061-4036,"93,920",25.455,0.22134
46,EUROPEAN HEART JOURNAL,0195-668X,"58,233",24.889,0.12939
47,Advanced Energy Materials,1614-6832,"50,724",24.884,0.1206
48,Nature Reviews Endocrinology,1759-5029,"8,908",24.646,0.0263
